Vak,Methode,Leerjaar,Niveau,Boek-ID,Ebook,Ebook-ID,Tijdstempel,CDN-ID
Aardrijkskunde,buiteNLand,4,vmbo bk,dab9b81c-b4a9-4af4-9221-48769a9d119a,buiteNLand 4 VMBO-BK Leerboek,cecff864-9744-4263-b09e-75aeb09caf01,20180719062454,
,,,,,buiteNLand 4 VMBO-BK Werkboek,4f52640e-c897-40c5-b26e-288e6513d298,20180905200656,
,,,,,De Kleine Bosatlas 61e editie,9c53b1b3-90ca-431b-af3f-e32c6aa2c1d6,20230323100231,964cde68-c4c4-4b7c-9c02-a986b1fe67f1
Aardrijkskunde,buiteNLand,4,vmbo gt,487d790f-3e98-4f06-9eb4-eb27aa3f18b1,buiteNLand 4 VMBO-GT Leerboek,b9de6e81-ad5b-4b8c-81ce-5d13fc13931b,20180719063945,
,,,,,buiteNLand 4 VMBO-GT Werkboek,0a060944-cab1-4a86-9cdc-2a050407b9ce,20180905200519,
,,,,,De Kleine Bosatlas 61e editie,9c53b1b3-90ca-431b-af3f-e32c6aa2c1d6,20230323100231,964cde68-c4c4-4b7c-9c02-a986b1fe67f1
Aardrijkskunde,buiteNLand,4,vmbo gt,801209b0-36c0-4776-b47c-a0d8d46bbb64,BNL3 4 vmbo-gt leerboek FLEX,0e8093e8-6b3f-46e7-89ec-87de77f8e331,20210616125228,9855fde2-5484-432f-98a0-ce963cd0c057
,,,,,BNL3 4 vmbo-gt werkboek FLEX,f5c2212e-da73-4e2e-8034-ffa9d6977e8b,20210616125629,6db029eb-5b2d-49d1-a199-de6d459e6494
,,,,,De Kleine Bosatlas 61e editie,9c53b1b3-90ca-431b-af3f-e32c6aa2c1d6,20230323100231,964cde68-c4c4-4b7c-9c02-a986b1fe67f1
Aardrijkskunde,buiteNLand,4,vwo,41f285ef-de06-40f4-8905-fb9de246c7a0,buiteNLand 4 VWO,977d5fce-8d79-4b4a-8693-aaab1fd38d76,20170509093750,
,,,,,buiteNLand 4 VWO Opdrachtenboek,e02b4c76-75e4-4606-b4f1-4c55f2f8fe70,20180502114552,
Aardrijkskunde,buiteNLand,4,vwo,f4b1b990-3925-46ad-83ec-1e82a22063f7,buiteNLand 4 VWO Flex Boek,2e26fad4-b58d-4452-a608-e89f50dff531,20221010091734,b784b825-9ec8-4055-b050-53bb7ee1cb82
Aardrijkskunde,buiteNLand,4,vwo,ccd4bf00-596e-4c1b-9f4f-4e17581e6b4b,buiteNLand 4vwo Editie 4.1,fd3144c5-1495-4035-9f24-a9b863b07e32,20230705080925,0b63cfec-d4e0-4bd9-adb3-8fe5625b0c99
Aardrijkskunde,buiteNLand,5,havo,a528ba1d-4dc7-43ff-a3fe-731efb9fd656,buiteNLand 5 HAVO LB,c94c441d-a5f5-4a8f-9fc0-368992494520,20180424123011,
,,,,,buiteNLand 5 HAVO Opdrachtenboek,10db049c-c2b4-47a7-a7cb-046af963a9f5,20180424121115,
Aardrijkskunde,buiteNLand,5,havo,0182e657-5edb-449e-97fe-b08ba5918055,buiteNland aardrijkskunde 5 havo Leerwerkboek 4e editie FLEX,3b393cca-708a-4451-8d2a-27584edb31ab,20220707125808,59ba9de9-9df1-47a1-a30c-d09043994506
Aardrijkskunde,buiteNLand,5,havo,06183916-2584-4216-8eb8-4b0a7d061706,buiteNLand 5havo Editie 4.1,ab5fbd27-718c-4cfc-bdcf-6bd72bdc6c50,20230710115657,322ab5a4-e619-43df-ab17-1cea943f0fe4
Aardrijkskunde,buiteNLand,5,vwo,8d426f52-b3dc-4b52-8b66-7482aee51f15,buiteNLand 5 VWO LB,8ae44685-efd7-4be0-b778-02ec5a90f9b2,20180424122028,
,,,,,buiteNLand 5 VWO Opdrachtenboek,feb1698e-eb78-4882-bd32-447f13a199fe,20180424124707,
Aardrijkskunde,buiteNLand,5,vwo,a87bd9f7-ee38-4f7c-a870-4f617f4f5dfd,Ebook buiteNLand 5VWO (4.0 Ed.),fb68795a-21da-4f50-b8da-c1d9197d4be9,20220708094608,e2db935c-240e-4a9c-93e0-cfc787187198
Aardrijkskunde,buiteNLand,5,vwo,fa343a9a-4408-4612-b055-5c9a1a111f9d,buiteNLand 5vwo Editie 4.1,0366b9d6-17d0-4c44-bd08-c6a1bf4fc0bb,20230711063428,052affb5-dc5e-43b9-bc7b-7624759f22fe
Aardrijkskunde,buiteNLand,6,vwo,abcb2e59-eed5-4548-b2e3-69a10ab6ddba,buiteNLand 6 VWO Leerboek,caac2235-7be9-43c7-a121-9ffea4b2dd1e,20180813071734,fa33632c-0538-459d-a165-ac2834b245de
,,,,,buiteNLand 6 VWO Opdrachtenboek,ee94c100-2be5-4f2a-9da0-bf39c8c8d34a,20180813072612,3fda8fa0-5531-4dc9-96d4-1797380b008e
Aardrijkskunde,buiteNLand,6,vwo,991e6d59-32d9-4b2d-a1e2-9da08dba912c,Leerboek 6 vwo FLEX zonder antw. (4e Ed.),b4855bb9-5cef-49b8-83ed-5dee46fd92e9,20240320064203,4781d5bc-ce6f-44cc-bcdb-e15e1f5469a2
Biologie,Nectar,1,havo / vwo,2ad36d26-134f-4d71-aec0-4f1c8ca07cc4,Nectar 5e editie havo/vwo English year 1 textbook,8b9db74d-2571-4b39-84d7-fd38019c3bfe,20180227095715,
,,,,,Nectar 5e editie havo/vwo English year 1 workbook A,e02c61b4-b76a-4dcd-b796-6d2d907e97ea,20170124084901,
,,,,,Nectar 5e editie havo/vwo English year 1 workbook B,18d5ae9a-0897-4417-9e83-17e76f173147,20180226072841,
Biologie,Nectar,1,havo / vwo,6693a919-6d87-4815-9756-7cbdacb15758,Nectar 5e editie biologie havo / vwo deel 1 leerboek,5e8d20b4-e7f2-4144-afdf-503f0b10cca6,20180227100655,
,,,,,Nectar 5e editie biologie havo / vwo deel 1 werkboek A,dfac6c2e-8c7b-49e0-810a-70f37e414a81,20180227104111,
,,,,,Nectar 5e editie biologie havo / vwo deel 1 werkboek B,e3c15ec6-ca9f-4c3d-b785-f070d0e9bf91,20180227103347,
,,,,,Nectar 5e editie biologie havo / vwo deel 1 leerwerkboek A FLEX,58a91987-18be-4ff9-82a5-7155ee9cee56,20210603131739,
,,,,,Nectar 5e editie biologie havo / vwo deel 1 leerwerkboek B FLEX,44111890-3382-4602-90b8-b6c1ac6ecbf0,20210603132440,
Biologie,Nectar,1,havo / vwo,75595e96-8704-4fc8-b291-e213cbb0a32a,Nectar 5e editie biologie havo / vwo deel 1 leerboek,5e8d20b4-e7f2-4144-afdf-503f0b10cca6,20180227100655,
,,,,,Nectar 5e editie biologie havo / vwo deel 1 werkboek A,dfac6c2e-8c7b-49e0-810a-70f37e414a81,20180227104111,
,,,,,Nectar 5e editie biologie havo / vwo deel 1 werkboek B,e3c15ec6-ca9f-4c3d-b785-f070d0e9bf91,20180227103347,
,,,,,Nectar 5e editie biologie havo / vwo deel 1 leerwerkboek A FLEX,58a91987-18be-4ff9-82a5-7155ee9cee56,20210603131739,
,,,,,Nectar 5e editie biologie havo / vwo deel 1 leerwerkboek B FLEX,44111890-3382-4602-90b8-b6c1ac6ecbf0,20210603132440,
Biologie,Nectar,1,vmbo bk,08518a49-27f9-41a3-91d7-89717b935721,Nectar 5e editie biologie vmbo-b/k deel 1 leerwerkboek A,019c00b5-3d2b-4fb3-ac02-a680659c3d4f,20180212130317,
,,,,,Nectar 5e editie biologie vmbo-b/k deel 1 leerwerkboek B,336bfbf2-0eef-44aa-9b4a-574dc8ce5a4d,20180212123638,
Biologie,Nectar,1,vmbo kgt,0dfda7bb-4ad2-4dce-85b7-cbd8aae6736e,Nectar 5e editie biologie vmbo-kgt deel 1 leerwerkboek A FLEX,c985b97d-2d86-4859-9987-fe7664319ef3,20200629160952,
,,,,,Nectar 5e editie biologie vmbo-kgt deel 1 leerwerkboek B FLEX,639e0a35-8a58-41d5-b650-b39fbec53ce3,20200629155728,
,,,,,Nectar 5e editie biologie vmbo-t/havo deel 1 leerwerkboek A FLEX,5b4169c4-838f-4452-bfca-e4e7f5f3b307,20210603120439,
